,sender prefixes,nb of bytes,% of traffic (bytes)
11112,123.71.0.0,1148818,3.593851414216558e-05
2503,206.121.0.0,1148710,3.593513557434425e-05
24305,101.239.0.0,1148626,3.593250779937212e-05
8839,195.29.0.0,1148514,3.592900409940926e-05
19602,102.62.0.0,1148046,3.5914363638850214e-05
12352,197.176.0.0,1147496,3.5897157969389785e-05
5515,113.21.0.0,1145556,3.583646888074754e-05
26317,155.231.0.0,1144112,3.579129617765507e-05
5004,170.232.0.0,1142175,3.573070093811898e-05
23895,127.50.0.0,1142004,3.572535153906856e-05
3545,145.110.0.0,1138926,3.562906235616092e-05
434,77.165.0.0,1138077,3.560250305912109e-05
19498,93.110.0.0,1136718,3.5559989414036144e-05
11143,118.68.0.0,1136584,3.555579748729487e-05
19762,98.133.0.0,1135064,3.5508247273513324e-05
1767,131.26.0.0,1132821,3.5438079425150154e-05
4499,101.194.0.0,1130866,3.537692109097718e-05
7066,195.31.0.0,1130424,3.536309398933807e-05
30299,116.191.0.0,1129786,3.534313541276397e-05
10369,84.213.0.0,1129102,3.532173781656227e-05
5596,195.111.0.0,1129082,3.532111215585463e-05
24773,156.71.0.0,1128772,3.5311414414886015e-05
8544,109.24.0.0,1128386,3.5299339163228334e-05
25662,170.153.0.0,1128132,3.529139327224115e-05
6670,100.162.0.0,1128009,3.52875454588891e-05
4412,218.11.0.0,1127721,3.52785359446989e-05
14617,36.144.0.0,1127575,3.527396862153305e-05
18511,16.89.0.0,1127566,3.52736870742146e-05
15656,90.170.0.0,1127561,3.5273530659037694e-05
3198,161.108.0.0,1126037,3.5225855313114614e-05
12097,119.173.0.0,1124404,3.5174770116334824e-05
6997,121.37.0.0,1123776,3.5155124370114554e-05
3617,14.150.0.0,1123337,3.5141391117581594e-05
19934,179.176.0.0,1121550,3.5085488333352895e-05
23285,127.225.0.0,1121542,3.5085238069069836e-05
2889,202.209.0.0,1121494,3.508373648337147e-05
2461,195.251.0.0,1120942,3.5066468247840275e-05
253,57.153.0.0,1119907,3.5034090306219287e-05
5899,58.97.0.0,1119126,3.500965825558548e-05
27610,73.238.0.0,1119042,3.500703048061334e-05
22858,111.248.0.0,1118092,3.497731159699987e-05
18652,185.11.0.0,1116611,3.493098142159824e-05
15961,194.122.0.0,1116606,3.493082500642133e-05
9098,195.98.0.0,1116428,3.4925256626123226e-05
30159,139.204.0.0,1114052,3.485092813405417e-05
25042,127.222.0.0,1114046,3.485074043584188e-05
3603,169.29.0.0,1113462,3.483247114317844e-05
29475,150.236.0.0,1112938,3.481607883263796e-05
13264,98.54.0.0,1112871,3.4813982869267325e-05
18447,123.60.0.0,1111576,3.477347133844686e-05
24400,210.87.0.0,1111218,3.476227201177989e-05
18549,112.112.0.0,1110720,3.4746693060159354e-05
10670,173.226.0.0,1110525,3.474059286825975e-05
6697,213.70.0.0,1109580,3.4711030399823196e-05
12400,172.19.0.0,1108240,3.4669111132410514e-05
3015,150.67.0.0,1106465,3.46135837446064e-05
21490,77.248.0.0,1105610,3.4586836749354284e-05
21695,100.152.0.0,1105602,3.458658648507122e-05
17158,105.63.0.0,1105110,3.457119523166298e-05
28100,106.26.0.0,1104314,3.4546293935498436e-05
24406,159.195.0.0,1103772,3.4529338530321066e-05
11981,212.57.0.0,1102689,3.449545900300171e-05
3251,46.86.0.0,1102616,3.4493175341418776e-05
25842,115.96.0.0,1102326,3.448410326115783e-05
491,245.110.0.0,1102003,3.447399884072925e-05
19109,102.27.0.0,1101893,3.447055770683716e-05
6938,82.80.0.0,1101622,3.446208000424848e-05
16436,50.17.0.0,1101415,3.445560441592428e-05
24155,110.1.0.0,1100405,3.4424008550187855e-05
14040,46.15.0.0,1099654,3.4400514990615524e-05
23163,119.36.0.0,1099268,3.438843973895784e-05
6668,212.52.0.0,1099230,3.43872509836133e-05
6530,164.240.0.0,1098870,3.437598909087557e-05
15736,105.248.0.0,1098743,3.4372016145381976e-05
13471,134.58.0.0,1098278,3.4357469533929074e-05
8700,147.70.0.0,1097832,3.4343517300148436e-05
26791,98.7.0.0,1097524,3.43338821252506e-05
17738,108.151.0.0,1097298,3.4326812159254125e-05
734,88.77.0.0,1096941,3.431564411562253e-05
17757,24.255.0.0,1096184,3.429196285783791e-05
23701,98.108.0.0,1095520,3.4271190922343864e-05
268,140.20.0.0,1095414,3.4267874920593307e-05
3879,86.222.0.0,1095268,3.426330759742745e-05
4797,33.112.0.0,1094469,3.423831245215676e-05
3231,161.226.0.0,1093451,3.420646632213727e-05
5894,13.173.0.0,1092482,3.417615306085153e-05
21510,110.43.0.0,1091659,3.415040712273165e-05
21314,145.2.0.0,1091554,3.414712240401648e-05
11453,71.119.0.0,1090492,3.411389982044016e-05
8983,121.132.0.0,1090362,3.410983302584042e-05
17312,134.6.0.0,1090220,3.4105390834816096e-05
4272,203.93.0.0,1090118,3.410219996520707e-05
756,150.73.0.0,1088391,3.404817416310132e-05
5775,182.127.0.0,1088134,3.4040134423007996e-05
656,174.203.0.0,1088099,3.403903951676961e-05
7046,208.86.0.0,1087598,3.4023366716042924e-05
3187,85.33.0.0,1087271,3.4013137163472815e-05
14517,209.130.0.0,1086864,3.40004049680721e-05
12257,97.12.0.0,1086085,3.397603548350905e-05
144,87.57.0.0,1085085,3.3944752448126456e-05
3806,209.160.0.0,1083063,3.388149815058284e-05
12974,199.93.0.0,1081995,3.384808786879423e-05
24899,155.175.0.0,1079434,3.376797201517939e-05
12721,67.76.0.0,1079079,3.375686653761857e-05
7042,221.103.0.0,1077490,3.370715779439562e-05
24529,203.17.0.0,1077426,3.3705155680131137e-05
25438,194.97.0.0,1076862,3.368751204817535e-05
10832,183.222.0.0,1076364,3.367193309655482e-05
12296,189.60.0.0,1076229,3.366770988677816e-05
18540,134.11.0.0,1076074,3.3662861016293864e-05
4347,198.175.0.0,1075828,3.365516538958974e-05
6674,45.179.0.0,1073498,3.3582275917148285e-05
10374,204.107.0.0,1073180,3.357232791189662e-05
9498,192.2.0.0,1072857,3.356222349146804e-05
574,164.137.0.0,1072530,3.3551993938897933e-05
9802,138.195.0.0,1072472,3.355017952284574e-05
4536,85.243.0.0,1071565,3.352180580975373e-05
29655,206.243.0.0,1070688,3.349437058772319e-05
12964,98.50.0.0,1069951,3.3471314990646215e-05
24303,134.192.0.0,1068410,3.342310783312163e-05
3385,126.33.0.0,1068252,3.341816511353118e-05
4373,100.141.0.0,1068017,3.341081360021627e-05
27518,94.155.0.0,1067226,3.338606871922863e-05
20961,209.70.0.0,1067190,3.338494252995486e-05
17266,190.164.0.0,1067151,3.3383722491574945e-05
23182,109.153.0.0,1065272,3.332494166809103e-05
17561,72.156.0.0,1063438,3.3267568581199353e-05
7583,196.114.0.0,1062384,3.3234596261906095e-05
22322,68.40.0.0,1062158,3.322752629590963e-05
3905,198.97.0.0,1062144,3.322708833341427e-05
6989,221.2.0.0,1062121,3.3226368823600475e-05
2158,42.213.0.0,1061200,3.31975571480131e-05
19228,31.92.0.0,1060900,3.3188172237398316e-05
26366,120.254.0.0,1060393,3.317231173845935e-05
28399,62.39.0.0,1059965,3.3158922599315586e-05
22865,109.30.0.0,1059177,3.3134271567434107e-05
3273,106.0.0.0,1059050,3.313029862194051e-05
7111,54.66.0.0,1058961,3.312751443179146e-05
18151,107.213.0.0,1058470,3.31121544614186e-05
17316,99.38.0.0,1057243,3.307377017700416e-05
3948,54.73.0.0,1056300,3.304427027463837e-05
4551,5.226.0.0,1055918,3.303232015512222e-05
18128,159.3.0.0,1055729,3.30264076614349e-05
17645,46.5.0.0,1055044,3.3004978782197827e-05
12720,63.134.0.0,1054886,3.300003606260738e-05
25434,102.202.0.0,1054204,3.297870103247644e-05
7048,192.250.0.0,1053712,3.2963309779068204e-05
23214,72.190.0.0,1053468,3.295567671843485e-05
5963,109.48.0.0,1052825,3.293556172668384e-05
8771,221.93.0.0,1052688,3.293127595083642e-05
14946,104.112.0.0,1051959,3.290847061804251e-05
8112,155.118.0.0,1050655,3.28676775399036e-05
23907,203.244.0.0,1050396,3.285957523373951e-05
19202,121.235.0.0,1049500,3.28315456340367e-05
16834,108.246.0.0,1047175,3.275881257677216e-05
8847,14.135.0.0,1046485,3.2737227282358165e-05
2966,197.240.0.0,1045903,3.2719020555765494e-05
14622,212.4.0.0,1045832,3.271679946025333e-05
8997,16.85.0.0,1045629,3.271044900407066e-05
28695,111.98.0.0,1044866,3.268658004807374e-05
6955,203.90.0.0,1043914,3.265679859838951e-05
6297,62.97.0.0,1043541,3.26451300261918e-05
5874,165.179.0.0,1043066,3.263027058438507e-05
8355,165.104.0.0,1041692,3.258728769376937e-05
24942,113.177.0.0,1038958,3.250175987503335e-05
1383,73.87.0.0,1037971,3.247088351911073e-05
25984,135.238.0.0,1037112,3.2444011391717074e-05
11526,77.129.0.0,1037062,3.244244723994794e-05
21264,103.51.0.0,1036612,3.242836987402578e-05
26965,50.132.0.0,1036254,3.2417170547358806e-05
14221,142.19.0.0,1035943,3.240744152335482e-05
6717,100.194.0.0,1035356,3.238907838158524e-05
6763,93.3.0.0,1033834,3.234146560173292e-05
17949,121.63.0.0,1033722,3.233796190177007e-05
23762,71.80.0.0,1033671,3.2336366466965555e-05
17029,54.64.0.0,1032074,3.2286407459459547e-05
11608,97.79.0.0,1031905,3.2281120626479886e-05
10329,66.83.0.0,1031316,3.2262694918639536e-05
1708,212.103.0.0,1031040,3.225406080087394e-05
16608,50.169.0.0,1030935,3.225077608215877e-05
17749,87.212.0.0,1030368,3.2233038601096835e-05
2059,24.178.0.0,1030203,3.22278769002587e-05
12103,40.236.0.0,1030110,3.222496757796812e-05
14087,207.2.0.0,1029191,3.2196218468451515e-05
5938,59.99.0.0,1028226,3.216603033930731e-05
21654,117.191.0.0,1027396,3.214006541993976e-05
11449,195.153.0.0,1026363,3.210775004438953e-05
15361,133.210.0.0,1024678,3.205503812976985e-05
15344,33.46.0.0,1023687,3.20240366417057e-05
924,120.58.0.0,1022692,3.199291002150001e-05
23135,120.250.0.0,1021882,3.19675707628401e-05
12816,110.64.0.0,1021083,3.194257561756941e-05
8330,202.84.0.0,1019010,3.187772588522128e-05
6341,100.48.0.0,1017327,3.182507653667237e-05
2407,165.68.0.0,1017111,3.181831940102973e-05
19326,102.10.0.0,1016570,3.180139527888775e-05
18907,149.22.0.0,1016198,3.178975798972542e-05
4431,105.41.0.0,1015318,3.176222891858873e-05
21256,40.227.0.0,1014800,3.174602430626055e-05
1190,10.207.0.0,1014443,3.173485626262896e-05
13894,221.102.0.0,1013081,3.1692248768437864e-05
16464,102.178.0.0,1012622,3.167788985519725e-05
3998,54.241.0.0,1012598,3.1677139062348064e-05
14749,159.112.0.0,1011233,3.163443771905082e-05
18126,102.90.0.0,1008042,3.153461355314495e-05
4628,125.178.0.0,1007500,3.151765814796758e-05
11107,130.124.0.0,1007168,3.1507272180220557e-05
3965,144.106.0.0,1005958,3.1469419707407615e-05
21430,103.95.0.0,1005832,3.146547804494941e-05
15561,105.32.0.0,1005617,3.145875219234215e-05
5615,149.150.0.0,1004978,3.1438762332732665e-05
6190,62.124.0.0,1002035,3.134669635960168e-05
27918,125.200.0.0,1001432,3.1327832689265976e-05
9092,100.200.0.0,1000984,3.131381788941457e-05
9211,35.111.0.0,1000730,3.130587199842739e-05
7629,20.227.0.0,999934,3.1280970702262845e-05
10499,62.7.0.0,997434,3.120276311380635e-05
5834,47.73.0.0,996916,3.118655850147817e-05
8068,93.26.0.0,996218,3.116472294278111e-05
12213,163.76.0.0,996111,3.116137565799517e-05
3178,143.188.0.0,995556,3.114401357335783e-05
25191,162.130.0.0,994916,3.112399243071297e-05
15414,112.8.0.0,994910,3.112380473250067e-05
5298,218.20.0.0,993644,3.10842004097063e-05
26814,24.142.0.0,992574,3.105072756184692e-05
29170,130.165.0.0,992196,3.10389025744723e-05
15820,143.88.0.0,991524,3.1017880374695194e-05
3825,60.203.0.0,991293,3.1010653993521816e-05
28144,13.196.0.0,990610,3.09892876803555e-05
21761,101.156.0.0,990546,3.098728556609102e-05
13501,198.95.0.0,989810,3.0964261252049417e-05
3800,142.22.0.0,988189,3.091355145169423e-05
13326,92.224.0.0,987454,3.089055842068802e-05
4363,71.202.0.0,986401,3.0857617384430146e-05
11154,58.198.0.0,986362,3.0856397346050225e-05
30824,135.77.0.0,985790,3.083850344981138e-05
20876,197.243.0.0,985626,3.083337303200863e-05
14432,20.75.0.0,985551,3.0831026804354936e-05
2613,212.91.0.0,984857,3.0809316377799416e-05
20660,71.217.0.0,984344,3.0793268180648134e-05
218,203.220.0.0,984157,3.0787418253031596e-05
26413,96.179.0.0,983538,3.0768054054129764e-05
12832,211.235.0.0,983169,3.075651061407359e-05
8060,126.217.0.0,982586,3.073827260444554e-05
6934,52.40.0.0,981869,3.071584266807621e-05
18691,112.87.0.0,981058,3.069047212638092e-05
20441,101.230.0.0,981030,3.068959620139021e-05
14330,4.107.0.0,980650,3.067770864794483e-05
19270,97.244.0.0,980108,3.066075324276745e-05
9544,97.213.0.0,980063,3.065934550617524e-05
28184,101.126.0.0,980024,3.0658125467795316e-05
5665,33.177.0.0,979538,3.064292191259937e-05
27094,186.251.0.0,977374,3.0575225424031436e-05
7769,82.161.0.0,976894,3.056020956704778e-05
29689,202.49.0.0,974212,3.0476308466151654e-05
27696,149.171.0.0,974210,3.0476245900080894e-05
17680,169.93.0.0,973830,3.0464358346635505e-05
21019,159.69.0.0,973382,3.04503435467841e-05
21245,127.160.0.0,972056,3.0408862241866774e-05
15207,99.39.0.0,971904,3.040410722048862e-05
17940,102.17.0.0,971454,3.039002985456645e-05
13822,153.238.0.0,971033,3.0376859696670374e-05
19248,48.143.0.0,970528,3.0361061763802165e-05
5854,202.58.0.0,970367,3.0356025195105563e-05
18215,108.254.0.0,968418,3.029505455914488e-05
19650,50.227.0.0,967714,3.0273031302235536e-05
25447,130.167.0.0,967660,3.027134201832487e-05
21706,74.221.0.0,967176,3.0256201029199695e-05
21575,110.211.0.0,966870,3.024662842037262e-05
4818,81.54.0.0,966471,3.0234146489254967e-05
21629,22.77.0.0,966195,3.022551237148937e-05
5718,86.1.0.0,966061,3.0221320444748096e-05
18150,151.70.0.0,965282,3.0196950960185055e-05
2947,122.156.0.0,964384,3.016885879441148e-05
13100,223.200.0.0,964312,3.0166606415863937e-05
6890,172.174.0.0,963670,3.014652270714831e-05
14766,65.7.0.0,962945,3.0123842506495924e-05
8727,120.27.0.0,962768,3.01183054092332e-05
25854,121.240.0.0,962578,3.011236163251051e-05
5833,212.114.0.0,961994,3.0094092339847073e-05
23478,5.193.0.0,961405,3.007566663200672e-05
591,166.112.0.0,961045,3.0064404739268985e-05
108,40.242.0.0,960736,3.0054738281335762e-05
22896,140.14.0.0,959986,3.0031276004798814e-05
8049,16.175.0.0,959597,3.0019106904034983e-05
4374,109.223.0.0,958696,2.9990920889155265e-05
28958,64.173.0.0,957124,2.994174395753382e-05
14158,197.81.0.0,956406,2.9919282738129116e-05
15039,62.118.0.0,953540,2.9829625558722585e-05
9757,34.105.0.0,953466,2.9827310614104276e-05
8322,72.121.0.0,953416,2.9825746462335144e-05
2120,71.115.0.0,952952,2.981123113391762e-05
12118,218.129.0.0,952165,2.9786611385071516e-05
7183,187.221.0.0,951534,2.9766871789745096e-05
16110,77.160.0.0,951432,2.976368092013607e-05
3924,130.187.0.0,951180,2.9755797595219656e-05
28517,122.127.0.0,950984,2.9749666120284666e-05
21090,130.228.0.0,950230,2.972607871160619e-05
7830,71.205.0.0,950006,2.9719071311680486e-05
518,62.74.0.0,949208,2.9694107449445172e-05
14841,198.11.0.0,949189,2.9693513071772905e-05
801,205.33.0.0,949034,2.9688664201288602e-05
475,120.162.0.0,948111,2.9659789959630463e-05
6919,96.242.0.0,947865,2.9652094332926344e-05
20283,107.40.0.0,946724,2.9616400389554796e-05
4016,125.176.0.0,946615,2.9612990538698096e-05
23805,210.120.0.0,946560,2.961126997175205e-05
5916,50.55.0.0,945507,2.957832893549418e-05
8539,20.189.0.0,945470,2.9577171463185018e-05
2778,91.157.0.0,945329,2.9572760555196076e-05
14078,40.240.0.0,944124,2.9535064497560044e-05
3384,141.48.0.0,943162,2.9504970217521985e-05
29950,24.220.0.0,942288,2.9477628844597596e-05
13844,71.101.0.0,941845,2.94637704599231e-05
705,66.244.0.0,941177,2.9442873392287526e-05
5288,98.197.0.0,940746,2.9429390404037625e-05
7280,213.96.0.0,940606,2.9425010779084064e-05
22657,163.72.0.0,939419,2.9387877816084922e-05
11192,54.159.0.0,937802,2.933729314787126e-05
10645,94.173.0.0,937223,2.9319180270384735e-05
351,122.93.0.0,936369,2.9292464558167993e-05
14492,135.81.0.0,934569,2.9236155094479315e-05
4837,194.215.0.0,931394,2.913683145713957e-05
4226,62.224.0.0,931324,2.9134641644662786e-05
22180,195.143.0.0,931154,2.9129323528647745e-05
12845,2.236.0.0,930256,2.9101231362874173e-05
395,33.79.0.0,929391,2.9074171537268225e-05
294,241.178.0.0,928818,2.9056246357993997e-05
4473,121.253.0.0,927800,2.9024400227974513e-05
2476,95.115.0.0,927787,2.9023993548514538e-05
13650,77.145.0.0,927668,2.9020270867304013e-05
8341,40.210.0.0,927190,2.900531757639113e-05
1780,105.47.0.0,926876,2.899549470328099e-05
8358,50.225.0.0,925116,2.894043656100762e-05
13577,218.73.0.0,925098,2.8939873466370733e-05
6963,90.232.0.0,923478,2.888919494905092e-05
29355,125.210.0.0,923034,2.887530528134105e-05
30672,129.240.0.0,922686,2.8864418785027906e-05
6299,219.169.0.0,922412,2.8855847233333075e-05
22069,219.35.0.0,922330,2.8853282024431704e-05
27276,218.119.0.0,922236,2.8850341419105735e-05
26771,177.252.0.0,921080,2.8814178230203452e-05
3450,62.27.0.0,920829,2.880632618832242e-05
13576,88.82.0.0,920436,2.8794031955417058e-05
13404,123.232.0.0,919444,2.8762999184317527e-05
24132,194.206.0.0,919026,2.87499228755276e-05
3082,54.218.0.0,918920,2.874660687377704e-05
25796,115.130.0.0,918528,2.873434392390706e-05
22516,58.184.0.0,917656,2.8707065117053437e-05
11858,95.170.0.0,917227,2.8693644694874306e-05
7711,95.62.0.0,916758,2.867897295127986e-05
6986,92.252.0.0,916593,2.8673811250441737e-05
18714,100.111.0.0,915072,2.8626229753624803e-05
6849,212.3.0.0,913788,2.8586062336193547e-05
9471,95.172.0.0,912969,2.85604415302152e-05
10595,106.168.0.0,912681,2.8551432016025013e-05
13444,223.22.0.0,912264,2.853838699027047e-05
8373,63.14.0.0,911837,2.85250291341621e-05
5327,115.13.0.0,911299,2.850819886112626e-05
23746,200.71.0.0,910126,2.8471503860622474e-05
19704,62.196.0.0,909562,2.845386022866669e-05
26248,219.24.0.0,909218,2.8443098864495074e-05
12520,105.59.0.0,909048,2.843778074848003e-05
6019,149.164.0.0,908798,2.842995998963438e-05
27349,124.35.0.0,907518,2.8389917704344657e-05
25635,100.170.0.0,907340,2.8384349324046555e-05
3804,87.202.0.0,907028,2.8374589017007182e-05
536,217.62.0.0,906403,2.835503711989306e-05
22628,117.189.0.0,906306,2.835200266546095e-05
9519,108.137.0.0,906008,2.834268032091694e-05
10008,110.125.0.0,905734,2.83341087692221e-05
20378,97.217.0.0,905560,2.8328665521065534e-05
7309,202.199.0.0,905468,2.832578748181033e-05
2076,208.192.0.0,905382,2.8323097140767425e-05
18180,190.15.0.0,904740,2.8303013432051796e-05
9278,97.28.0.0,902887,2.8245045967487844e-05
29530,135.166.0.0,901244,2.8193647940354236e-05
21710,205.79.0.0,900863,2.818172910387347e-05
14420,115.38.0.0,900666,2.8175566345903097e-05
29631,67.124.0.0,900540,2.817162468344489e-05
9781,172.146.0.0,900463,2.8169215889720425e-05
9891,148.82.0.0,900133,2.8158892488044172e-05
12336,99.65.0.0,899420,2.813658768381638e-05
21005,195.248.0.0,899207,2.8129924397279884e-05
1204,219.103.0.0,897595,2.8079496144243138e-05
23417,123.16.0.0,897172,2.8066263420276296e-05
2730,194.201.0.0,895384,2.8010329353012214e-05
251,120.29.0.0,894920,2.7995814024594688e-05
5734,59.41.0.0,894500,2.7982675149733996e-05
6830,77.254.0.0,893936,2.7965031517778212e-05
18338,110.249.0.0,893384,2.7947763282247017e-05
11572,93.9.0.0,892511,2.792045319235801e-05
29442,75.30.0.0,892182,2.791016107371713e-05
10482,24.246.0.0,891894,2.7901151559526945e-05
1894,111.250.0.0,891305,2.7882725851686592e-05
3836,100.229.0.0,888930,2.7808428642652926e-05
1821,118.81.0.0,887168,2.7753307934308786e-05
18141,209.186.0.0,885233,2.769277526084346e-05
15560,40.58.0.0,885115,2.768908386266831e-05
3522,122.227.0.0,885014,2.7685924276094673e-05
13138,40.79.0.0,884631,2.7673942873543135e-05
20554,98.58.0.0,883013,2.762332692229409e-05
5733,87.253.0.0,882756,2.7615287182200765e-05
8538,172.217.0.0,882624,2.761115782153026e-05
28792,86.56.0.0,882567,2.760937468851345e-05
9484,165.109.0.0,882233,2.7598926154695666e-05
22012,62.45.0.0,881750,2.758381644860587e-05
11362,222.227.0.0,880934,2.7558289491733668e-05
16466,169.107.0.0,880107,2.753241842147226e-05
5003,42.85.0.0,879332,2.7508174069050747e-05
5574,196.165.0.0,878328,2.7476765901526617e-05
17918,113.204.0.0,877656,2.7455743701749517e-05
8885,16.94.0.0,876931,2.743306350109713e-05
2184,218.199.0.0,876786,2.7428527460966654e-05
22584,187.159.0.0,876722,2.742652534670217e-05
17348,77.42.0.0,876567,2.7421676476217867e-05
560,203.212.0.0,876112,2.740744269511878e-05
1591,43.255.0.0,875734,2.7395617707744158e-05
3876,86.6.0.0,874770,2.736546086163534e-05
873,160.15.0.0,874669,2.7362301275061695e-05
3217,60.231.0.0,873664,2.7330861824502182e-05
4744,60.181.0.0,873142,2.7314532080032462e-05
8369,219.202.0.0,872939,2.73081816238498e-05
7691,222.254.0.0,872816,2.730433381049774e-05
13469,5.164.0.0,872571,2.7296669466829e-05
7035,210.116.0.0,871957,2.7277461683104084e-05
17027,108.195.0.0,871816,2.7273050775115142e-05
23474,24.15.0.0,871800,2.727255024654902e-05
13508,110.35.0.0,871082,2.725008902714431e-05
7951,169.38.0.0,870734,2.7239202530831168e-05
22062,105.60.0.0,870688,2.7237763511203568e-05
3818,42.54.0.0,870215,2.72229666354676e-05
14996,134.144.0.0,869377,2.7196751451816986e-05
9995,199.214.0.0,869320,2.7194968318800178e-05
5740,220.232.0.0,869320,2.7194968318800178e-05
10025,35.164.0.0,869230,2.719215284561574e-05
5609,125.2.0.0,869198,2.7191151788483496e-05
14258,84.107.0.0,869128,2.7188961976006714e-05
18809,212.73.0.0,869106,2.71882737492283e-05
24844,112.38.0.0,868803,2.7178794989507374e-05
2086,61.103.0.0,868693,2.717535385561529e-05
14664,54.202.0.0,868546,2.7170755249414043e-05
848,63.32.0.0,867387,2.713449821140561e-05
710,60.64.0.0,866545,2.7108157895613466e-05
17784,5.76.0.0,866412,2.710399725190758e-05
17508,135.244.0.0,865947,2.7089450640454675e-05
14098,16.106.0.0,864852,2.7055195716710726e-05
6956,82.239.0.0,864384,2.7040555256151674e-05
13582,96.230.0.0,864012,2.7028917966989344e-05
9672,54.234.0.0,863226,2.7004329501178625e-05
22337,210.244.0.0,863144,2.700176429227725e-05
29,148.41.0.0,862706,2.698806232277967e-05
1972,178.254.0.0,862466,2.6980554394287848e-05
10268,102.59.0.0,861846,2.696115891235064e-05
14499,50.5.0.0,861804,2.695984502486457e-05
8728,219.164.0.0,861442,2.694852056605607e-05
9229,199.131.0.0,860626,2.6922993609183867e-05
6154,178.15.0.0,860532,2.6920053003857904e-05
22191,87.34.0.0,860154,2.690822801648328e-05
8664,223.137.0.0,859728,2.6894901443410298e-05
24161,77.234.0.0,859688,2.6893650121994994e-05
8797,5.100.0.0,859250,2.6879948152497414e-05
3511,176.63.0.0,858171,2.6846193757319586e-05
7775,97.47.0.0,857673,2.6830614805699056e-05
569,178.235.0.0,857523,2.6825922350391666e-05
3549,79.146.0.0,856915,2.680690226487905e-05
22667,200.49.0.0,856422,2.6791479728435424e-05
6737,88.214.0.0,855534,2.676370039301568e-05
16369,77.34.0.0,855246,2.6754690878825488e-05
3756,217.17.0.0,854751,2.6739205776311104e-05
12312,92.74.0.0,854408,2.672847569517487e-05
13632,2.122.0.0,854338,2.672628588269809e-05
13861,219.171.0.0,853398,2.669687982943845e-05
12284,218.117.0.0,852786,2.66777346117843e-05
29097,170.234.0.0,851536,2.663863081755605e-05
4290,182.178.0.0,851109,2.6625272961447682e-05
10502,86.71.0.0,851046,2.662330213021858e-05
2126,58.139.0.0,850872,2.6617858882062005e-05
26134,197.242.0.0,850354,2.6601654269733817e-05
20607,76.220.0.0,850130,2.6594646869808115e-05
5976,90.244.0.0,849912,2.6587827168094712e-05
17447,218.197.0.0,849578,2.6577378634276923e-05
25908,140.160.0.0,848960,2.6558045718410478e-05
2046,211.150.0.0,848041,2.652929660889387e-05
3468,115.229.0.0,847465,2.6511277580513497e-05
20320,22.190.0.0,847174,2.6502174217217155e-05
8972,40.54.0.0,847141,2.6501141877049533e-05
6706,109.3.0.0,846721,2.648800300218884e-05
5128,99.32.0.0,846600,2.648421775490755e-05
29573,114.16.0.0,846113,2.6468982916676224e-05
3826,98.49.0.0,845606,2.6453122417737245e-05
29186,65.54.0.0,845104,2.6437418333975182e-05
7287,212.125.0.0,844713,2.6425186667140585e-05
10837,190.50.0.0,844635,2.6422746590380744e-05
7131,190.4.0.0,844620,2.6422277344850006e-05
8007,59.115.0.0,844398,2.6415332510995067e-05
22285,118.25.0.0,843998,2.6402819296842025e-05
825,144.242.0.0,843985,2.6402412617382054e-05
15185,62.82.0.0,843846,2.639806427546387e-05
20532,98.143.0.0,843316,2.6381484266711093e-05
8270,112.123.0.0,842999,2.637156754449481e-05
3274,161.241.0.0,842417,2.635336081790214e-05
6401,234.218.0.0,841034,2.6310096379968006e-05
401,176.227.0.0,840484,2.6292890710507577e-05
10699,193.149.0.0,840291,2.6286853084678736e-05
6767,217.229.0.0,839736,2.6269491000041395e-05
25423,22.217.0.0,839395,2.625882348497593e-05
22185,110.30.0.0,839174,2.625190993415637e-05
409,201.116.0.0,838612,2.6234328868271354e-05
427,188.160.0.0,838509,2.6231106715626946e-05
30520,119.224.0.0,838330,2.622550705229346e-05
5723,82.192.0.0,837828,2.6209802968531397e-05
4410,178.218.0.0,837691,2.620551719268398e-05
5725,87.59.0.0,836603,2.6171481250187715e-05
21099,134.40.0.0,836322,2.6162690717245205e-05
3921,10.124.0.0,836192,2.6158623922645464e-05
14927,199.77.0.0,835634,2.6141167988901973e-05
27016,90.138.0.0,835272,2.6129843530093475e-05
28577,125.54.0.0,834044,2.6091427962643644e-05
21503,2.185.0.0,833282,2.6067590289682104e-05
14523,102.61.0.0,833276,2.606740259146981e-05
3484,210.51.0.0,832724,2.6050134355938616e-05
3191,193.247.0.0,832530,2.6044065447074392e-05
2569,199.15.0.0,832460,2.604187563459761e-05
21762,108.110.0.0,832358,2.6038684764988582e-05
9679,221.101.0.0,831632,2.6015973281300817e-05
3103,62.137.0.0,831469,2.6010874146533455e-05
22291,154.22.0.0,829884,2.5961290535452038e-05
14486,72.102.0.0,829816,2.595916328904602e-05
6667,106.170.0.0,829757,2.5957317589958447e-05
8808,45.187.0.0,829186,2.5939454976754985e-05
17518,50.80.0.0,827866,2.5898161370049957e-05
25964,118.47.0.0,827818,2.5896659784351588e-05
4552,74.231.0.0,827374,2.5882770116641716e-05
7953,73.97.0.0,827050,2.5872634413177752e-05
6022,127.179.0.0,827038,2.5872259016753164e-05
12182,202.64.0.0,826682,2.5861122256156962e-05
23569,45.13.0.0,826502,2.5855491309788093e-05
12292,200.78.0.0,825874,2.5835845563567822e-05
23415,113.43.0.0,825680,2.5829776654703592e-05
