,sender prefixes,nb of bytes,% of traffic (bytes)
11668,94.171.0.0,2175578554,0.0680587008824036
5587,4.109.0.0,2157390947,0.06748973732909781
2474,16.115.0.0,2137485906,0.06686704722720274
22120,24.214.0.0,2104685277,0.06584094398962427
5937,98.149.0.0,2098526616,0.06564828237965184
3912,24.151.0.0,2090560776,0.06539908672507974
2440,196.125.0.0,2090169399,0.06538684326454079
11,103.179.0.0,2066187371,0.06463661263407035
8823,124.168.0.0,2034958328,0.06365967337693666
2403,205.65.0.0,2016195679,0.06307272076439839
3608,208.36.0.0,1884423651,0.05895049175003768
20184,115.143.0.0,1869945362,0.05849756692297121
8211,74.91.0.0,1840622650,0.057580263485961465
41,157.73.0.0,1816661259,0.056830678443492204
2393,169.15.0.0,1812454455,0.05669907684511255
12978,5.174.0.0,1811031688,0.056654568374710355
11748,169.62.0.0,1768490603,0.05532375410744124
28035,73.230.0.0,1732386152,0.054194297289338965
23503,74.146.0.0,1731745983,0.05417427085986112
219,109.178.0.0,1670060939,0.052244575445832
131,140.114.0.0,1665522481,0.05210259870363556
3202,35.67.0.0,1655534280,0.051790137458344064
38,110.201.0.0,1603936742,0.05017600985143512
4573,35.253.0.0,1590081611,0.049742579298131584
6672,99.127.0.0,1579498214,0.0494114985153125
5601,50.7.0.0,1578878853,0.049392123023234896
3482,169.5.0.0,1533961458,0.047986970566155765
44,219.142.0.0,1519207674,0.04752542741925655
7501,101.164.0.0,1517451595,0.04747049193776492
2119,97.248.0.0,1510247004,0.04724511046259476
2307,165.148.0.0,1486873971,0.046513931044257134
2819,106.111.0.0,1472919212,0.046077383824704506
40,35.199.0.0,1452837764,0.0454491751763867
42,77.185.0.0,1386806357,0.043383512334842965
14,2.97.0.0,1383637927,0.04328439422704568
158,162.98.0.0,1374692494,0.04300455392999402
130,5.4.0.0,1361697857,0.042598042240939
2719,194.99.0.0,1343028846,0.04201401890926789
121,190.45.0.0,1341180908,0.041956209799429045
2500,130.244.0.0,1340598065,0.04193797670123754
2926,113.211.0.0,1335877726,0.04179031016928268
2370,213.90.0.0,1322281071,0.0413649655298327
1155,157.71.0.0,1321122593,0.04132872482156874
15385,110.171.0.0,1319385627,0.04127438725273237
2554,166.162.0.0,1289243037,0.04033143554323922
1114,196.21.0.0,1278259641,0.039987841577550136
2031,147.123.0.0,1248206676,0.03904769361010316
2213,103.185.0.0,1204222648,0.03767173970590997
10892,198.164.0.0,1192527091,0.03730586718245978
461,245.32.0.0,1188031339,0.037165226413572394
82,111.22.0.0,1168889522,0.03656641227507417
2793,103.197.0.0,1146073252,0.03585265009336527
22,172.93.0.0,1129929946,0.03534763848057515
2896,140.153.0.0,1101306960,0.034452224596781544
2124,172.164.0.0,1094115105,0.03422724154235003
78,31.82.0.0,1087514014,0.03402073937903328
3531,165.143.0.0,1081968489,0.033847258524243196
2873,199.227.0.0,1072200941,0.03354169997455797
147,62.32.0.0,1070674078,0.03349393506530459
60,103.183.0.0,1058428242,0.0331108481444271
2228,46.221.0.0,1038281620,0.03248060065556127
7124,213.172.0.0,1037227864,0.03244763596932865
