,sp,ibyt
44353,51359,169421727
6219,7985,169190618
4015,5222,168827068
52438,59445,168021508
18541,23141,165514010
1343,2390,164768983
235,1213,164125560
44894,51900,164110467
45428,52434,163508310
45177,52183,162365084
48356,55362,160768381
30079,36701,160724721
17,82,160012758
44683,51689,159423170
56814,63821,157958995
19663,24520,156744975
52893,59900,156155096
28715,35280,155582385
47932,54938,155533305
53355,60362,155394159
50171,57178,154939335
26378,32876,154659201
51470,58477,154330411
5034,6509,154114227
36935,43782,153683441
10761,13577,153609071
51936,58943,153314991
50246,57253,153307651
34532,41307,153275142
38897,45792,153210792
22243,27728,152711568
45901,52907,152668036
47919,54925,152647719
45625,52631,152175872
3904,5105,151953422
45658,52664,151872727
45374,52380,151138999
47765,54771,151117630
42355,49361,150766947
16495,20639,150543854
43696,50702,149542569
44352,51358,149449428
7200,9206,149166083
8469,10769,149075357
30751,37404,148512082
1249,2285,148289729
55850,62857,147949346
45373,52379,147764150
34713,41495,147744648
54612,61619,147692544
37211,44068,147388396
17296,21642,147331135
23972,29911,147087508
25972,32397,147066930
35694,42506,147023214
35965,42784,146647605
42903,49909,146576948
15001,18863,146316941
45350,52356,146190938
15394,19340,146169951
19417,24212,145951638
7608,9728,145840894
46059,53065,145794963
257,1235,145624816
49469,56475,145474821
49767,56773,144957482
49795,56802,144943940
45372,52378,144449335
45642,52648,144135162
42939,49945,144087797
59454,9306,143898117
49691,56697,143523918
38227,45110,143423225
46486,53492,142949887
45732,52738,142935592
42302,49308,142657502
47244,54250,142526851
46793,53799,142499157
27650,34183,142303830
45429,52435,141803781
28930,35502,141566860
45815,52821,140736915
261,1239,140296290
49686,56692,140190263
9500,12061,140169075
49739,56745,140109003
48586,55592,139748113
45660,52666,139286158
269,1247,139265249
245,1223,139245972
5680,7298,139139452
2355,3478,138963867
33190,39913,138741856
49265,56271,138701777
49381,56387,138580423
47979,54985,138416078
48637,55643,138164177
45626,52632,137520331
42215,49221,137427280
49713,56719,137419511
45731,52737,136834634
49311,56317,136777619
48849,55855,135291518
45902,52908,134873305
48718,55724,134587877
58034,65041,134426280
253,1231,133992207
45816,52822,133944254
53062,60069,133876679
45643,52649,133365762
44806,51812,132930797
26339,32837,132776624
45427,52433,131055383
9404,11939,130927927
45903,52909,130718078
42353,49359,129754959
48564,55570,128500353
42446,49452,128427791
51900,58907,126961751
2079,3189,125972344
52758,59765,122600948
33574,40314,122242259
46083,53089,122101376
45788,52794,120954964
46553,53559,120931471
45657,52663,120839608
19406,24200,120070970
43842,50848,119626169
52153,59160,119575830
46620,53626,118670660
45388,52394,118635866
53706,60713,118362119
52833,59840,116924412
10081,12791,116638231
47653,54659,116242253
10125,12837,115687005
42448,49454,115637058
45392,52398,115480472
53625,60632,115287423
52400,59407,115272296
2269,3389,115030576
2364,3487,114453065
48052,55058,114347609
2564,3690,113595945
55727,62734,113441954
43391,50397,113407682
42662,49668,113331642
46061,53067,112913030
14438,18184,112620092
57322,64329,112608754
48905,55911,112364750
16986,21256,111650603
20376,25412,111055563
43538,50544,110674036
45405,52411,110628549
56472,63479,110112528
7037,9000,109122774
45612,52618,108870361
454,1433,108299179
18984,23676,108113340
17748,22182,108050811
38501,45389,107028189
37988,44862,105749396
55753,62760,105337883
29192,35776,103527695
48217,55223,103123021
41494,48472,102398903
49798,56805,101976721
4571,5900,101860677
41490,48468,101756628
48745,55751,101663740
55917,62924,101552421
42483,49489,101130095
6261,8034,100978075
46233,53239,100969116
48455,55461,100869954
5195,6711,100829104
49216,56222,100126743
244,1222,99381507
45151,52157,99075004
46537,53543,98919149
19690,24551,98852460
6302,8082,98839925
42866,49872,98412795
3201,4357,98193749
34281,41049,97991925
52111,59118,97852634
42670,49676,97188901
2953,4090,95757128
219,1197,94872770
6309,8091,94285228
43746,50752,93897434
46384,53390,93663866
6730,8608,93225890
50160,57167,92572261
42994,50000,92557999
17325,21676,92437868
46416,53422,91853958
18488,23080,91668948
42999,50005,91566341
52347,59354,90874114
28705,35269,90640775
62493,28145,88799175
29350,35939,88665285
43001,50007,88610162
50677,57684,88489439
5570,7159,88266833
49274,56280,88026807
25662,32001,87762603
45474,52480,87706413
42492,49498,87533748
46924,53930,87476906
49742,56748,87414513
43524,50530,87326134
49593,56599,87203890
49314,56320,86819182
53063,60070,86620999
48640,55646,86371295
49770,56776,86318710
49716,56722,86183727
17270,21608,86171775
43053,50059,85727805
4021,5228,85131335
42465,49471,84831021
52526,59533,84181641
53708,60715,84110188
56815,63822,83835410
35145,41938,83810463
42929,49935,83798947
4116,5335,83647979
