,sp,ibyt
19488,24297,4240360
49826,56833,4240123
49240,56246,4240050
53875,60882,4238697
38309,45194,4238325
46113,53119,4236647
57860,64867,4236569
50930,57937,4235931
47870,54876,4235247
49811,56818,4235049
55021,62028,4234820
57014,64021,4234535
49566,56572,4234265
51148,58155,4233851
48678,55684,4233454
46075,53081,4233437
2406,3529,4233277
28645,35208,4232518
46260,53266,4232517
52290,59297,4231469
45743,52749,4231451
54716,61723,4230914
52185,59192,4229831
62429,27825,4229016
47083,54089,4228847
49036,56042,4228838
52420,59427,4228778
54660,61667,4227937
7930,10114,4227782
14428,18172,4227747
47056,54062,4227352
46566,53572,4227340
50451,57458,4227320
52618,59625,4227206
33859,40613,4226744
51361,58368,4226655
51332,58339,4226341
52846,59853,4225384
54874,61881,4223899
61742,23715,4223807
46714,53720,4223738
56957,63964,4223456
23486,29306,4222791
52107,59114,4222578
52707,59714,4222385
35198,41993,4222067
24056,30016,4221842
45195,52201,4221680
47143,54149,4221626
47892,54898,4221605
49715,56721,4221528
45205,52211,4219994
46316,53322,4219426
50253,57260,4219287
42140,49146,4218598
55873,62880,4218328
47334,54340,4217968
48530,55536,4217959
48146,55152,4216854
50889,57896,4216667
46730,53736,4216322
33215,39941,4215510
51756,58763,4215304
47808,54814,4214326
6805,8707,4214312
32337,39028,4214153
53068,60075,4213490
49365,56371,4212846
46749,53755,4212722
53798,60805,4212329
53329,60336,4211468
49341,56347,4211347
28656,35219,4210334
52549,59556,4210234
48008,55014,4210174
52924,59931,4210171
30593,37236,4210009
46419,53425,4209892
47541,54547,4209115
47601,54607,4207998
53114,60121,4207923
44803,51809,4207296
47192,54198,4207196
47825,54831,4207160
52843,59850,4206928
52862,59869,4206353
46908,53914,4206312
55783,62790,4206308
54690,61697,4206276
51412,58419,4205279
51620,58627,4205130
54187,61194,4204965
46445,53451,4204904
35180,41973,4204883
50082,57089,4204556
57590,64597,4204552
52140,59147,4204419
50468,57475,4204382
46070,53076,4204318
47827,54833,4203064
29758,36365,4202972
52709,59716,4202290
15723,19723,4201551
36998,43847,4200747
56668,63675,4199822
51247,58254,4199556
56721,63728,4199315
46663,53669,4198932
714,1706,4198740
54114,61121,4198564
52415,59422,4198137
57622,64629,4198116
54889,61896,4197861
47182,54188,4197404
48387,55393,4196845
50954,57961,4196734
49034,56040,4196590
48732,55738,4196420
5548,7130,4196391
47636,54642,4196389
52509,59516,4195854
62819,29970,4195416
47420,54426,4194851
48760,55766,4194646
54741,61748,4194599
45401,52407,4194569
45651,52657,4193294
45202,52208,4193253
49704,56710,4193170
41459,48437,4192771
54757,61764,4192721
47327,54333,4192652
51576,58583,4190963
45166,52172,4190909
32955,39671,4189933
50125,57132,4189779
46964,53970,4189681
13828,17434,4189506
45860,52866,4189272
52727,59734,4189065
44948,51954,4188582
47155,54161,4188489
45714,52720,4188476
32958,39674,4187665
27849,34386,4187591
50703,57710,4187557
52403,59410,4187214
57868,64875,4187203
33243,39969,4185912
55147,62154,4185805
41439,48416,4185755
56504,63511,4185431
50100,57107,4185428
50689,57696,4185255
48410,55416,4185229
48372,55378,4185194
48216,55222,4185179
46771,53777,4185105
51152,58159,4184967
53689,60696,4184698
1410,2468,4184660
45991,52997,4184509
44969,51975,4184214
49868,56875,4183654
45650,52656,4183485
31344,38014,4182901
53856,60863,4182894
49167,56173,4182124
52165,59172,4181688
50330,57337,4181290
48491,55497,4181041
40796,47756,4180908
47038,54044,4180729
47809,54815,4179375
34310,41078,4179194
48385,55391,4179181
27426,33949,4178991
57202,64209,4178677
51895,58902,4178262
48388,55394,4178193
45146,52152,4178030
53287,60294,4177607
26409,32907,4177541
46191,53197,4177331
41505,48484,4177195
53992,60999,4176887
53822,60829,4176783
49026,56032,4176221
49350,56356,4176132
47644,54650,4175761
40451,47398,4175757
51108,58115,4175634
52908,59915,4175348
47888,54894,4175198
56971,63978,4174784
48366,55372,4174586
29236,35821,4174518
60661,16621,4174208
49897,56904,4174151
52354,59361,4173688
33050,39771,4172535
48922,55928,4172331
50498,57505,4172185
47317,54323,4171101
54556,61563,4170664
53828,60835,4170211
50304,57311,4169919
53283,60290,4169130
53452,60459,4168522
51772,58779,4167387
52007,59014,4167128
50603,57610,4166920
26319,32817,4166791
7594,9710,4166788
50653,57660,4166551
51034,58041,4165726
48562,55568,4165613
58234,65241,4164837
45361,52367,4164823
49535,56541,4164595
55960,62967,4164356
55610,62617,4163921
63084,31598,4163681
45871,52877,4161633
49685,56691,4161023
46380,53386,4160976
27352,33872,4160852
53806,60813,4160760
47773,54779,4160361
33019,39739,4160178
14272,17974,4160093
45951,52957,4159727
26878,33389,4159468
56105,63112,4159237
53493,60500,4158766
50529,57536,4158223
6136,7873,4158174
20957,26143,4158032
50837,57844,4157921
46735,53741,4157314
52235,59242,4157243
50713,57720,4156185
56810,63817,4155761
53937,60944,4155639
49682,56688,4155502
33695,40438,4155227
49211,56217,4154836
33437,40169,4154826
47972,54978,4154609
55113,62120,4154164
40502,47450,4153389
49796,56803,4153307
52684,59691,4152403
49509,56515,4152164
54149,61156,4151557
50440,57447,4151518
45081,52087,4151335
36229,43053,4151205
39156,46062,4151052
36189,43013,4150562
56108,63115,4150426
50065,57072,4150319
58049,65056,4150214
46867,53873,4150162
46548,53554,4150083
47479,54485,4149656
57550,64557,4149387
21283,26543,4149101
48965,55971,4148889
3605,4770,4148829
49905,56912,4148687
54329,61336,4148586
45861,52867,4148349
45842,52848,4148254
53696,60703,4148044
57166,64173,4147776
56702,63709,4147081
51908,58915,4146597
54961,61968,4145849
57020,64027,4145623
18209,22725,4145495
55281,62288,4144725
54867,61874,4144571
54502,61509,4144333
47004,54010,4144097
34157,40923,4143950
53663,60670,4142692
40648,47601,4142388
55516,62523,4142368
46026,53032,4142282
49368,56374,4142263
49675,56681,4141609
52143,59150,4141076
54680,61687,4141059
51497,58504,4140642
56585,63592,4139897
56828,63835,4139566
49452,56458,4138666
49760,56766,4138199
33068,39791,4137765
34163,40929,4137640
50421,57428,4137529
39208,46115,4137244
48539,55545,4136717
51153,58160,4136554
52992,59999,4136099
30908,37568,4135822
40682,47637,4135626
53827,60834,4135315
51722,58729,4135033
48029,55035,4134827
49377,56383,4134555
48966,55972,4134092
53386,60393,4133881
56900,63907,4133880
48978,55984,4133494
46042,53048,4133323
51691,58698,4133221
47003,54009,4132952
7687,9818,4132589
47335,54341,4132087
52933,59940,4131790
28318,34872,4131659
8167,10402,4131316
47238,54244,4130742
53460,60467,4130118
52182,59189,4129700
6947,8888,4129565
53930,60937,4129319
46975,53981,4129226
45510,52516,4129102
53721,60728,4128598
24245,30256,4128469
49238,56244,4128253
53216,60223,4127804
49396,56402,4127358
47761,54767,4127265
49104,56110,4127162
53437,60444,4126930
45054,52060,4126680
47780,54786,4125910
46910,53916,4124867
57484,64491,4124715
19364,24145,4124692
47264,54270,4124339
52409,59416,4123330
23192,28923,4123293
28022,34565,4123268
47168,54174,4122958
53024,60031,4122778
51821,58828,4122046
52764,59771,4121972
45789,52795,4121937
28666,35229,4121583
52141,59148,4121418
48850,55856,4121327
46345,53351,4121213
46024,53030,4121187
32455,39147,4120953
50071,57078,4120348
31232,37899,4120239
58253,65260,4120010
54667,61674,4119946
56440,63447,4119733
46792,53798,4119698
50633,57640,4119264
52278,59285,4119250
5726,7364,4119141
49741,56747,4118945
55808,62815,4118943
49290,56296,4118807
34195,40961,4118766
26629,33136,4118525
3293,4454,4118211
41384,48359,4117968
52666,59673,4117753
53968,60975,4117544
52168,59175,4116820
48246,55252,4116716
46921,53927,4116485
46147,53153,4116248
49970,56977,4115697
48868,55874,4115390
53911,60918,4115313
47419,54425,4115259
53312,60319,4114286
47693,54699,4113719
56044,63051,4113715
54898,61905,4113690
49482,56488,4113542
47715,54721,4113447
46920,53926,4113317
46916,53922,4112545
50255,57262,4112225
45620,52626,4111890
45610,52616,4111708
47235,54241,4111526
36667,43502,4111444
49002,56008,4111397
58389,65396,4111307
44995,52001,4110988
38413,45300,4110973
55564,62571,4110900
6682,8550,4110754
51205,58212,4110527
29680,36283,4110502
51792,58799,4109744
50110,57117,4109733
52273,59280,4109662
49426,56432,4109635
48478,55484,4109604
1831,2927,4109567
50628,57635,4109513
48050,55056,4109404
55543,62550,4109238
51557,58564,4108963
50333,57340,4108757
46317,53323,4108670
46911,53917,4108148
45071,52077,4108132
47062,54068,4107904
49149,56155,4107841
50398,57405,4107747
30853,37512,4107707
53756,60763,4107536
52818,59825,4106860
56362,63369,4106398
45315,52321,4105769
47057,54063,4105435
33291,40019,4105288
47043,54049,4104760
46719,53725,4104411
51072,58079,4104385
33099,39822,4104318
53249,60256,4103831
28188,34736,4103787
7229,9249,4103275
44993,51999,4102940
25902,32312,4102841
823,1821,4102682
32164,38855,4102128
57121,64128,4102111
50948,57955,4102051
46019,53025,4101982
40317,47258,4101636
50842,57849,4100037
55794,62801,4100002
54659,61666,4099040
34994,41782,4098598
49625,56631,4098208
52236,59243,4098127
38199,45078,4097409
57704,64711,4097165
46757,53763,4097109
49267,56273,4096594
46986,53992,4096412
50034,57041,4096124
45120,52126,4095949
55284,62291,4095735
16412,20532,4095726
41331,48306,4095606
56698,63705,4095507
57278,64285,4095476
51229,58236,4094526
46703,53709,4094092
47861,54867,4094008
11210,14146,4092362
48338,55344,4091985
42061,49066,4091753
292,1270,4090377
44883,51889,4089654
46121,53127,4089619
47915,54921,4088948
51317,58324,4088228
51019,58026,4088207
57757,64764,4087717
54564,61571,4087537
22959,28630,4087262
47328,54334,4086512
44987,51993,4086242
33289,40017,4085580
45094,52100,4085376
49460,56466,4085041
50765,57772,4084811
51256,58263,4084772
58427,65434,4084743
56442,63449,4084678
57729,64736,4084227
53593,60600,4084096
46272,53278,4083486
46995,54001,4082716
53492,60499,4082335
50380,57387,4081691
55826,62833,4080630
48901,55907,4080324
53660,60667,4079279
50604,57611,4078930
40448,47395,4078800
34632,41409,4078744
48556,55562,4078736
38143,45020,4078712
48058,55064,4078640
49810,56817,4077837
10992,13884,4077369
57907,64914,4076972
53802,60809,4076933
47302,54308,4075791
57233,64240,4074848
49612,56618,4074617
58350,65357,4074183
52272,59279,4072529
48119,55125,4072477
53916,60923,4071911
33278,40006,4071819
51592,58599,4071657
46525,53531,4071629
62508,28203,4071119
53309,60316,4070961
53551,60558,4070878
46608,53614,4070814
48400,55406,4070770
53956,60963,4070301
55016,62023,4070234
48748,55754,4069785
48084,55090,4069720
49730,56736,4069557
4025,5232,4069159
51066,58073,4069106
51521,58528,4068893
36297,43122,4068892
27583,34114,4068852
29934,36547,4068411
47680,54686,4067369
48792,55798,4067261
54203,61210,4067188
58506,65513,4066748
49342,56348,4066224
53615,60622,4066204
56510,63517,4065974
47621,54627,4065452
53272,60279,4065419
48988,55994,4065309
49536,56542,4065146
48436,55442,4063332
52075,59082,4063252
52313,59320,4063201
33292,40020,4063017
46546,53552,4062942
49952,56959,4062566
46066,53072,4062467
54046,61053,4062456
46360,53366,4062352
28927,35499,4062013
49768,56774,4061705
54372,61379,4061265
46273,53279,4061222
53342,60349,4060947
49974,56981,4058856
51636,58643,4057903
48130,55136,4057222
47078,54084,4056936
50272,57279,4056605
53140,60147,4056543
46174,53180,4056296
47124,54130,4056291
49264,56270,4055412
52874,59881,4055221
55005,62012,4055150
56954,63961,4054544
53809,60816,4054490
46443,53449,4054360
49084,56090,4054105
50804,57811,4054063
16461,20598,4053928
57143,64150,4053714
51678,58685,4053008
48006,55012,4052908
48809,55815,4052843
47048,54054,4052777
61754,23796,4051998
45845,52851,4051902
48621,55627,4051796
51203,58210,4051750
31143,37807,4051606
33302,40030,4051397
50729,57736,4051383
63623,43625,4051153
54886,61893,4050896
47026,54032,4050335
50928,57935,4050003
19432,24230,4049530
47485,54491,4049250
48914,55920,4048814
49012,56018,4048319
45099,52105,4048042
49992,56999,4047629
46094,53100,4047377
50132,57139,4046945
50708,57715,4046686
50947,57954,4046120
52560,59567,4046029
48101,55107,4046006
54850,61857,4045411
50557,57564,4044942
52917,59924,4044347
50716,57723,4043983
9535,12106,4043849
35391,42191,4043487
50766,57773,4043487
49587,56593,4042270
52776,59783,4042174
17004,21277,4042169
47914,54920,4041844
45751,52757,4040823
54736,61743,4040189
45449,52455,4040117
51073,58080,4039876
46446,53452,4039067
52507,59514,4039032
45894,52900,4038964
46154,53160,4038552
49159,56165,4038200
48520,55526,4037930
52564,59571,4037517
42169,49175,4037187
46940,53946,4036974
53164,60171,4036601
53511,60518,4036129
50986,57993,4036126
53005,60012,4035313
15763,19766,4035231
50305,57312,4034903
35786,42599,4034771
47002,54008,4033603
50527,57534,4033408
47018,54024,4033361
45802,52808,4033233
53337,60344,4033059
52097,59104,4033034
57140,64147,4032982
45852,52858,4032474
51628,58635,4031843
48885,55891,4031466
47712,54718,4031426
1598,2670,4031380
52157,59164,4031213
54227,61234,4030634
34631,41408,4030295
54052,61059,4030238
22643,28248,4030119
34164,40930,4029292
28711,35276,4029230
53765,60772,4029213
58121,65128,4028991
27744,34280,4028977
58372,65379,4028921
56407,63414,4028743
50745,57752,4028222
27629,34160,4027791
47308,54314,4027654
45750,52756,4027485
26304,32802,4027431
48086,55092,4027285
56303,63310,4026659
49484,56490,4026496
46673,53679,4025657
48396,55402,4025331
28864,35435,4025162
47387,54393,4024959
51023,58030,4024840
56131,63138,4024725
51492,58499,4024256
54075,61082,4023859
31900,38583,4023729
1798,2891,4023362
55026,62033,4023303
55633,62640,4022527
54991,61998,4022413
48051,55057,4022204
57909,64916,4022093
28999,35572,4022086
49212,56218,4021165
47160,54166,4020244
50506,57513,4020009
50874,57881,4020007
49763,56769,4019520
48572,55578,4018655
50961,57968,4018492
56111,63118,4018349
51159,58166,4018293
462,1443,4017737
50385,57392,4017716
57847,64854,4017689
46901,53907,4017573
47498,54504,4017156
25284,31519,4017010
50779,57786,4016620
61940,24929,4016153
52927,59934,4015354
28901,35472,4014985
50840,57847,4014981
53269,60276,4014397
47867,54873,4012158
57963,64970,4012002
50939,57946,4011800
51896,58903,4011751
49815,56822,4011712
58140,65147,4010949
47243,54249,4010940
52147,59154,4010794
49818,56825,4010530
50392,57399,4009890
54104,61111,4009540
50694,57701,4009394
52032,59039,4008689
54837,61844,4008549
45875,52881,4008471
50499,57506,4008206
52743,59750,4008145
47725,54731,4007774
54241,61248,4006973
46979,53985,4006847
45694,52700,4006349
46788,53794,4005689
45018,52024,4005157
7395,9454,4003216
52779,59786,4002220
49437,56443,4001372
46947,53953,4001312
46868,53874,4001255
47411,54417,4001171
22269,27762,4001071
37504,44364,4000997
45470,52476,4000737
50566,57573,4000626
50937,57944,4000603
53411,60418,4000294
51404,58411,3999653
51234,58241,3999059
46394,53400,3999020
47860,54866,3998966
48149,55155,3998070
51083,58090,3997821
40661,47616,3997300
55532,62539,3997074
47232,54238,3996045
48827,55833,3996003
54392,61399,3995928
50741,57748,3995736
46958,53964,3995656
48601,55607,3995636
56888,63895,3995295
49717,56723,3995269
51255,58262,3994441
48998,56004,3994105
50933,57940,3994001
53994,61001,3993981
29634,36234,3993838
51837,58844,3993541
51676,58683,3993295
53584,60591,3993284
57125,64132,3992975
48840,55846,3992827
56683,63690,3992731
47802,54808,3992507
46809,53815,3992121
40036,46967,3992079
48091,55097,3991291
47677,54683,3991264
47692,54698,3991211
51139,58146,3991105
50945,57952,3989783
30566,37209,3989675
52046,59053,3989622
56867,63874,3989587
55987,62994,3989201
52921,59928,3988912
35116,41908,3988440
60607,16322,3988290
51965,58972,3988025
54024,61031,3987710
45613,52619,3987381
48463,55469,3987198
58231,65238,3986259
51031,58038,3986188
55551,62558,3986090
47494,54500,3986023
48022,55028,3985098
50989,57996,3984635
55863,62870,3984391
50938,57945,3984380
37219,44077,3984085
47557,54563,3983475
51672,58679,3983416
45782,52788,3983416
52796,59803,3983232
50157,57164,3982829
50905,57912,3982597
47369,54375,3982397
47710,54716,3981595
50021,57028,3981502
55492,62499,3981226
41962,48960,3981163
54865,61872,3980594
47398,54404,3980578
57344,64351,3980371
53084,60091,3979099
53482,60489,3978981
37547,44407,3978974
56328,63335,3978478
50707,57714,3978313
16092,20148,3978200
52014,59021,3977873
33849,40603,3977749
36063,42883,3977602
51196,58203,3977327
18147,22651,3977253
26583,33087,3977135
47385,54391,3976883
50609,57616,3976797
46494,53500,3975897
45060,52066,3975709
6265,8039,3975676
36861,43705,3975164
55304,62311,3974775
53648,60655,3974735
55636,62643,3973944
14759,18563,3973894
37344,44202,3973575
47831,54837,3973200
46836,53842,3972769
50584,57591,3972727
54109,61116,3972231
55772,62779,3972163
51002,58009,3971795
61674,23288,3971331
56964,63971,3970500
47044,54050,3970418
54166,61173,3970137
47071,54077,3969693
7692,9824,3969647
55171,62178,3969556
47366,54372,3969467
47239,54245,3969173
45704,52710,3968783
55456,62463,3968531
57119,64126,3968417
26909,33421,3968154
47947,54953,3967629
54413,61420,3967461
50457,57464,3967242
48497,55503,3966564
45647,52653,3966428
49947,56954,3966300
56910,63917,3966284
63995,12000,3966057
24075,30039,3965437
54452,61459,3965365
47146,54152,3964913
47321,54327,3964761
58199,65206,3964683
53850,60857,3964534
52810,59817,3964517
56581,63588,3964207
51494,58501,3964195
53190,60197,3963695
47163,54169,3963185
47950,54956,3963095
48996,56002,3962837
52232,59239,3962589
51771,58778,3962253
51806,58813,3962237
53199,60206,3962044
50683,57690,3961967
55384,62391,3961515
51184,58191,3961513
49515,56521,3961283
48183,55189,3960267
53631,60638,3959972
39940,46867,3959775
40647,47600,3959522
48763,55769,3958948
51955,58962,3958850
39307,46217,3958716
51603,58610,3958695
26768,33277,3958669
27507,34038,3958596
48932,55938,3958373
46250,53256,3958320
49450,56456,3957621
47461,54467,3957614
53322,60329,3957138
47451,54457,3956981
47976,54982,3956612
46203,53209,3956465
48161,55167,3956194
48844,55850,3956150
46524,53530,3955914
45365,52371,3954775
26538,33041,3954699
51021,58028,3954323
29275,35861,3954018
1916,3017,3953693
46728,53734,3953451
56485,63492,3952885
35259,42055,3952746
46835,53841,3952458
47348,54354,3952115
46780,53786,3952021
62062,25618,3951604
47175,54181,3951330
46944,53950,3951106
27073,33591,3951011
47351,54357,3950818
46973,53979,3949994
54566,61573,3948856
49916,56923,3948145
53480,60487,3948137
49615,56621,3947581
46892,53898,3947392
57593,64600,3946556
56841,63848,3946495
46741,53747,3946448
48415,55421,3946288
19375,24158,3946121
49487,56493,3945666
48188,55194,3945455
37110,43965,3945446
57642,64649,3945432
42006,49006,3945326
29712,36317,3945208
50813,57820,3945201
52529,59536,3945122
33294,40022,3944651
46206,53212,3944287
54794,61801,3944176
45711,52717,3943675
15789,19801,3943553
50234,57241,3943421
45890,52896,3943280
47472,54478,3943105
29560,36155,3942787
62723,29405,3942773
54848,61855,3942702
47413,54419,3942435
50242,57249,3942192
51321,58328,3941093
45835,52841,3940813
50381,57388,3940579
54903,61910,3940366
1589,2661,3939617
49176,56182,3939565
45276,52282,3939278
30663,37309,3938282
36134,42957,3937872
46827,53833,3937201
51233,58240,3937103
46661,53667,3936894
51170,58177,3936778
52451,59458,3936405
9231,11721,3936076
47357,54363,3935793
36495,43324,3935714
49014,56020,3935528
51243,58250,3935413
64491,31733,3935367
56710,63717,3935088
33301,40029,3935065
39289,46198,3934981
53003,60010,3934962
48076,55082,3934496
51813,58820,3934365
51745,58752,3934332
45958,52964,3934248
47332,54338,3934027
29662,36265,3933090
49647,56653,3932880
46214,53220,3932442
48154,55160,3930805
40524,47474,3930706
2905,4037,3930472
55559,62566,3930400
52326,59333,3929228
57737,64744,3928514
51846,58853,3928450
35332,42131,3928440
20588,25681,3928209
56833,63840,3928061
51269,58276,3927620
30607,37250,3926815
48579,55585,3926789
52042,59049,3926570
56606,63613,3926345
53833,60840,3925954
36933,43780,3925109
48377,55383,3924624
47370,54376,3924548
41549,48530,3924059
53804,60811,3924050
23825,29728,3923838
54686,61693,3922978
51211,58218,3922917
53417,60424,3922800
60451,15388,3922643
47309,54315,3922493
49035,56041,3922451
46378,53384,3921756
50076,57083,3921633
49196,56202,3920805
48502,55508,3920365
52387,59394,3919995
48526,55532,3919819
2225,3343,3919769
51085,58092,3919628
27125,33643,3919520
50486,57493,3919446
46767,53773,3919397
33275,40003,3918723
50326,57333,3918678
53475,60482,3917378
45981,52987,3917007
51617,58624,3916694
27571,34102,3916340
36526,43356,3916189
52489,59496,3916179
48559,55565,3916127
48237,55243,3915963
32876,39589,3915873
48214,55220,3915756
46603,53609,3915640
50199,57206,3915318
55630,62637,3914524
50875,57882,3914455
44837,51843,3914422
50849,57856,3913573
46529,53535,3913554
57459,64466,3913539
26431,32930,3913207
54958,61965,3913037
53462,60469,3912378
47939,54945,3912063
57159,64166,3911523
46656,53662,3911400
31951,38634,3910061
53304,60311,3909861
56436,63443,3909839
33426,40158,3909292
5972,7675,3909253
48065,55071,3909106
59864,11792,3909081
30417,37057,3908942
49005,56011,3908340
49550,56556,3908078
45982,52988,3907628
47433,54439,3905853
48072,55078,3905686
53664,60671,3905383
49285,56291,3905247
53497,60504,3905144
47608,54614,3904834
49560,56566,3904545
55112,62119,3903063
49696,56702,3903034
53640,60647,3902818
17914,22373,3902397
54085,61092,3902343
51769,58776,3902070
54112,61119,3902022
53960,60967,3901949
59847,11731,3901889
47868,54874,3900912
50894,57901,3900815
52174,59181,3900419
46795,53801,3900057
47910,54916,3899545
47886,54892,3899340
45264,52270,3898290
49944,56951,3897863
48571,55577,3897748
48078,55084,3897406
52433,59440,3896899
28888,35459,3896744
48245,55251,3896535
52155,59162,3895727
46146,53152,3895606
53877,60884,3895276
58177,65184,3894701
53990,60997,3894182
55383,62390,3893801
48073,55079,3893338
39436,46349,3892842
55854,62861,3892278
28259,34812,3891055
12499,15761,3891053
48537,55543,3891013
41249,48222,3890530
48814,55820,3890495
46374,53380,3889885
46732,53738,3889519
54028,61035,3888941
45717,52723,3888873
50464,57471,3888705
48198,55204,3888658
47023,54029,3888411
31457,38131,3888376
50623,57630,3888364
51117,58124,3888220
50299,57306,3887920
51984,58991,3887863
50482,57489,3887712
50087,57094,3887447
50972,57979,3887402
57123,64130,3887164
55054,62061,3886674
46017,53023,3886438
54668,61675,3886366
52869,59876,3886050
3746,4917,3885651
51402,58409,3885640
46922,53928,3885577
48722,55728,3884774
49223,56229,3884756
52535,59542,3884425
45669,52675,3884045
51163,58170,3883789
46959,53965,3883650
53484,60491,3883539
48889,55895,3883462
52003,59010,3883122
49700,56706,3882706
33514,40251,3882639
49302,56308,3882410
47246,54252,3881914
37228,44086,3881762
33045,39766,3881039
30993,37653,3880498
47563,54569,3880339
26491,32993,3876723
56387,63394,3876589
53834,60841,3876508
28358,34913,3876300
46087,53093,3876248
60544,15927,3875820
47127,54133,3875621
45635,52641,3873754
42153,49159,3873594
45556,52562,3873551
53735,60742,3873514
48145,55151,3872947
44994,52000,3872717
48414,55420,3872685
52473,59480,3872563
51863,58870,3872279
47846,54852,3872092
25334,31581,3871703
49221,56227,3871174
52323,59330,3871071
49567,56573,3869813
52255,59262,3869480
47524,54530,3869433
51547,58554,3869183
48900,55906,3868868
47296,54302,3868512
47713,54719,3867638
46497,53503,3867610
46196,53202,3867346
56458,63465,3866986
47850,54856,3866822
46878,53884,3866421
56644,63651,3866315
51142,58149,3866144
34843,41627,3865710
58279,65286,3863956
22266,27759,3863800
53340,60347,3863148
36259,43083,3862896
49153,56159,3861930
45184,52190,3861617
58070,65077,3861168
50010,57017,3860818
50348,57355,3860674
55363,62370,3859963
52471,59478,3859768
49702,56708,3859747
47618,54624,3859258
55930,62937,3859142
53302,60309,3858986
52799,59806,3858628
53359,60366,3858168
52158,59165,3857853
54962,61969,3857772
46338,53344,3857562
32688,39390,3857492
49352,56358,3857383
51780,58787,3856839
47316,54322,3856375
40138,47071,3856067
40305,47246,3855792
47791,54797,3855698
49204,56210,3854958
29101,35680,3854934
48631,55637,3854386
35564,42368,3854073
2575,3701,3853170
53002,60009,3852939
48135,55141,3852800
52392,59399,3852766
38301,45186,3852676
53805,60812,3852192
51981,58988,3852046
48938,55944,3851911
53739,60746,3851159
50524,57531,3850084
55767,62774,3849289
49653,56659,3849191
8496,10803,3849054
57094,64101,3848642
56656,63663,3848584
27921,34460,3848154
47017,54023,3847609
23241,28987,3847359
55605,62612,3847178
39177,46084,3846419
55450,62457,3846219
49328,56334,3846157
46433,53439,3845518
55940,62947,3845476
48624,55630,3843788
26509,33012,3843635
46863,53869,3843372
45494,52500,3843250
31575,38249,3842721
49597,56603,3842343
2791,3918,3842321
49317,56323,3842004
46667,53673,3841974
48917,55923,3841798
51920,58927,3841759
50899,57906,3841643
56330,63337,3841318
53468,60475,3840650
48538,55544,3840524
48489,55495,3840141
57517,64524,3839863
38495,45382,3839378
50823,57830,3839158
48875,55881,3838640
60950,18384,3838012
46599,53605,3837791
47129,54135,3837304
26083,32530,3837073
49483,56489,3836995
53653,60660,3836585
32581,39278,3835895
50031,57038,3835510
26610,33115,3835428
51823,58830,3834941
51408,58415,3834038
51706,58713,3833937
47449,54455,3833716
29227,35812,3833619
53673,60680,3833433
51277,58284,3832636
50195,57202,3832599
51174,58181,3832275
62096,25780,3832049
27964,34504,3831600
12861,16224,3831401
47599,54605,3831143
38195,45073,3831014
46984,53990,3830704
49733,56739,3830515
47154,54160,3830263
63632,43833,3829983
51506,58513,3829954
52944,59951,3829914
56343,63350,3829619
22793,28438,3829336
47402,54408,3829155
48739,55745,3826851
5285,6821,3826484
28343,34898,3825422
46369,53375,3825152
48509,55515,3825106
44951,51957,3824456
58263,65270,3824039
46893,53899,3824011
47807,54813,3823551
47383,54389,3823528
27557,34088,3823115
45735,52741,3822728
54789,61796,3822036
37015,43866,3821788
47482,54488,3821658
52845,59852,3821502
48049,55055,3821437
53823,60830,3821173
45979,52985,3820848
57856,64863,3820847
56908,63915,3820013
50320,57327,3819533
46699,53705,3819085
53162,60169,3818973
57986,64993,3818723
54151,61158,3818273
52386,59393,3818056
51082,58089,3817416
54482,61489,3817189
46438,53444,3816892
13166,16601,3816360
50435,57442,3816316
54319,61326,3816271
53023,60030,3815748
30849,37508,3815653
51094,58101,3814741
57268,64275,3814681
58266,65273,3814349
48077,55083,3813159
55521,62528,3812420
51493,58500,3812213
49076,56082,3811808
46588,53594,3811342
52860,59867,3810613
50371,57378,3810549
30249,36877,3810379
52750,59757,3810120
52979,59986,3809740
54199,61206,3809575
49464,56470,3809263
52225,59232,3809015
51012,58019,3808961
53857,60864,3808779
51456,58463,3807966
49389,56395,3807571
48187,55193,3806454
54915,61922,3806129
1365,2417,3805199
49638,56644,3805013
31023,37685,3804558
50572,57579,3804540
48020,55026,3804483
49590,56596,3804282
47576,54582,3803835
50553,57560,3803704
36278,43103,3803363
50247,57254,3803260
46597,53603,3803214
51787,58794,3802789
51326,58333,3802443
15517,19479,3802317
58084,65091,3801939
51962,58969,3801878
35446,42248,3801840
56062,63069,3801776
26801,33310,3801612
52001,59008,3801567
50091,57098,3801502
49407,56413,3801467
54817,61824,3800977
47491,54497,3800188
46293,53299,3799509
55891,62898,3799310
48120,55126,3799287
47162,54168,3798974
50184,57191,3798904
46781,53787,3798138
31855,38538,3797702
13451,16967,3797584
8126,10349,3797083
45493,52499,3796854
46137,53143,3796524
50530,57537,3796496
53467,60474,3796457
50293,57300,3796084
19453,24254,3795331
32061,38748,3795192
47132,54138,3794850
51714,58721,3794839
49304,56310,3794309
54450,61457,3794013
45204,52210,3793334
56010,63017,3793060
53112,60119,3792320
21567,26880,3791869
57015,64022,3791754
55905,62912,3791272
55829,62836,3790831
49519,56525,3790736
16055,20108,3790734
29509,36101,3790322
48010,55016,3789959
47497,54503,3789712
49827,56834,3789531
47703,54709,3789161
52593,59600,3789048
50423,57430,3789033
32059,38746,3789026
57605,64612,3788537
50106,57113,3788360
